sample_id,sentence,human_label,Zhang_label,Luo_label,Chen_label,Jiang_label,Li_label,majority_label,agreement_level,claude_consensus,claude_agreement_count,deepseek_consensus,deepseek_agreement_count,gemini_consensus,gemini_agreement_count,gpt_consensus,gpt_agreement_count,grok_consensus,grok_agreement_count,claude_p2,deepseek_p2,gemini_p2,gpt_p2,grok_p2,claude_p3,deepseek_p3,gemini_p3,gpt_p3,grok_p3,claude_p4,deepseek_p4,gemini_p4,gpt_p4,grok_p4,claude_p6,deepseek_p6,gemini_p6,gpt_p6,grok_p6,sample_group,llm_majority_label,explicit_marker_count,please,gratitude,apology,modal_verbs,hedges,deference,positive_words
52,How long does your regression test take to complete?  Surely it should be based on this?,Impolite,Impolite,Impolite,Impolite,Impolite,Neutral,Impolite,4,Neutral,4,Neutral,3,Neutral,4,Impolite,4,Neutral,4,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Impolite,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,1,0,0,0,1,0,0,0
53,"Is this like a printing error on a postage stamp, i.e. a rarity?",Impolite,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
54,"OK, fair enough. But it's still not a SO question?",Impolite,Polite,Polite,Polite,Impolite,Impolite,Polite,3,Neutral,4,Neutral,4,Neutral,4,Impolite,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
55,"Yes, I posted a link to the history. I was asking/thinking where you stepped into the discussion and if you were editing as an IP and that would put a different slant on your 3rr warning to Bbb23?, have you been recently editing the article was the simple question?",Impolite,Impolite,Polite,Polite,Impolite,Neutral,Impolite,2,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,1,0,0,0,1,0,0,0
56,"Are you referring to loading them using the iPad Camera Connection Kit? If so, are you unable to delete the JPEG preview or the RAW image the JPEG was rendered from?",Impolite,Impolite,Neutral,Impolite,Impolite,Neutral,Impolite,3,Neutral,2,Neutral,4,Neutral,4,Neutral,2,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,0,0,0,0,0,0,0,0
57,"Unfortunately I think <url> may also add that material; I am not familiar with Citizendum, though, but I will look at it. If Citizendum has the same policies regarding primary, secondary, and tertiary sources, then why not criticize both Wikipedia and Citizendum?",Impolite,Polite,Neutral,Impolite,Neutral,Impolite,Neutral,2,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,2,0,0,0,1,1,0,0
58,Not familiar with this game. Should this be tagged as a cheat?,Impolite,Impolite,Neutral,Neutral,Impolite,Neutral,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,1,0,0,0,1,0,0,0
59,If it is always complete using numbers from 1..N you could just write the values 1..N to the input array.  So I'm guessing thats not going to cut it?,Impolite,Impolite,Neutral,Polite,Neutral,Neutral,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,1,0,0,0,1,0,0,0
60,So why then does the lead stat in Christianity need a reference? Isn't it being contained in the article good enough?,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,5,Impolite,4,Neutral,2,Neutral,4,Neutral,3,Neutral,4,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Impolite,Impolite,Neutral,Impolite,Neutral,Impolite,Impolite,Neutral,Neutral,Neutral,G2_Human_Impolite_LLM_Neutral,Neutral,1,0,0,0,0,0,0,1
61,"I have tried the default """"Hello World"""" from a new C++ console project and it builds and runs fine, could you please provide a screenshot of the error ? What templare are you using ?",Neutral,Polite,Impolite,Polite,Polite,Polite,Polite,4,Polite,4,Polite,4,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,2,1,0,0,1,0,0,0
62,What is special with Zergs? Could you please extend you answer for them too?,Neutral,Polite,Polite,Polite,Neutral,Polite,Polite,4,Polite,4,Polite,4,Polite,3,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,2,1,0,0,1,0,0,0
63,I bow to your superior knowledge of Irish :-)  One question - the Irish Wikipedia is called Vikipedia? How so - there's no 'v' in the Irish alphabet?,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,5,Polite,4,Polite,4,Polite,4,Polite,4,Polite,3,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,0,0,0,0,0,0,0,0
64,"Thanks; I was confused by the situation (indeed, I still am), so I had no idea what to do.  One more question: why did you protect Highspeed's talk?",Neutral,Neutral,Polite,Impolite,Neutral,Polite,Neutral,2,Polite,4,Polite,4,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,1,0,1,0,0,0,0,0
65,"@David Heffernan: Yes, it shows 00400000. Can you give some advice how to fix this problem?",Neutral,Neutral,Neutral,Polite,Polite,Neutral,Neutral,3,Polite,3,Polite,4,Neutral,2,Polite,4,Polite,4,Neutral,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,1,0,0,0,1,0,0,0
66,"I think you're trying to find repeating characters at the beginning of a string, is this correct? Would you mind rephrasing your question?",Neutral,Polite,Polite,Polite,Polite,Polite,Polite,5,Polite,4,Polite,4,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,2,0,0,0,1,1,0,0
67,"Just noticed that the """"time"""" field is eliminated from the collapsable boxes. Could you make this something that is displayed when the box is expanded?",Neutral,Polite,Neutral,Polite,Polite,Polite,Polite,4,Polite,4,Polite,2,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,1,0,0,0,1,0,0,0
68,"The Wikipedia page does not say anything about single electrons, and the original paper, """"[Das magnetische Moment des Silberatoms](http://www.springerlink.com/content/q47427674u801u22/)"""" seems to refer to silver atoms - not sure about this because the paper is in German and behind a paywall. Can you please clarify your answer?",Neutral,Polite,Polite,Polite,Neutral,Polite,Polite,4,Polite,4,Polite,3,Polite,2,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Neutral,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,2,1,0,0,1,0,0,0
69,I suggest we start with the History section. What do you think?,Neutral,Polite,Polite,Neutral,Polite,Polite,Polite,4,Polite,4,Polite,4,Neutral,2,Polite,4,Polite,3,Polite,Polite,Neutral,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,0,0,0,0,0,0,0,0
70,I will endeavour to be (cant think of antonyms) non-combative and kind. Will you give me a particular example of what I wrote and what I should have written?,Neutral,Polite,Neutral,Neutral,Impolite,Neutral,Neutral,3,Polite,3,Neutral,2,Polite,4,Polite,4,Polite,4,Neutral,Neutral,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Impolite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,1,0,0,0,1,0,0,0
71,It would help if you could give an example of the type of project you would consider appropriate given the time you have for this project and the intended difficulty. Like is reading a paper in detail acceptable as a project?,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,5,Polite,4,Polite,3,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,3,0,0,0,3,0,0,0
72,"Ah, sorry, my mistake. However, at least on Snow Leopard, it's RunAtLoad, not RunAtLaunch -- or am I making the next mistake here? :-)",Neutral,Polite,Impolite,Polite,Polite,Polite,Polite,4,Polite,4,Polite,4,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,1,0,0,1,0,0,0,0
73,"Hi I saw that you make maps and plans. Could you make me some that good plans, of station?",Neutral,Polite,Impolite,Polite,Polite,Polite,Polite,4,Polite,4,Polite,4,Polite,4,Polite,3,Polite,3,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,2,0,0,0,1,0,0,1
74,"Hi, I see you left a red link at <url> (Roman conquest of Britain). Is this a forerunner to a new article/renaming or does it need correcting?",Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,4,Polite,4,Polite,4,Polite,4,Polite,3,Neutral,2,Polite,Polite,Polite,Neutral,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,G3_Human_Neutral_LLM_Polite,Polite,0,0,0,0,0,0,0,0
75,Can it be used for any kind of departure? Could you please give more examples in context?,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,5,Polite,4,Polite,3,Polite,3,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,4,1,0,0,2,1,0,0
76,It's not that I don't like to use `memoir` commands -- it's that I don't know what they are in the first place. =) Could you please extend your answer to include the code which produces the same result but uses only `memoir` commands?,Neutral,Polite,Impolite,Neutral,Polite,Polite,Polite,3,Polite,4,Polite,3,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,2,1,0,0,1,0,0,0
77,The article <url> is vandalism. Could you please delete it?,Neutral,Polite,Polite,Neutral,Polite,Polite,Polite,4,Polite,4,Polite,3,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,2,1,0,0,1,0,0,0
78,"Could you explain your question further? Is {10,10,10} supposed to output numbers from 000 to 999?",Neutral,Polite,Neutral,Neutral,Polite,Polite,Polite,3,Polite,4,Polite,3,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,1,0,0,0,1,0,0,0
79,You are obviously very busy. How should I proceed?,Neutral,Polite,Impolite,Polite,Impolite,Impolite,Impolite,3,Polite,3,Polite,4,Polite,3,Polite,4,Neutral,2,Neutral,Polite,Neutral,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,G3_Human_Neutral_LLM_Polite,Polite,1,0,0,0,1,0,0,0
80,There's a lot of unfilled requests to become a verified user at WP:OP. Could you possibly look through them?,Neutral,Polite,Impolite,Neutral,Polite,Polite,Polite,3,Polite,4,Polite,3,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,2,0,0,0,1,1,0,0
81,SAX parsing is known to be difficult. Would any other parsing style be an option?,Neutral,Polite,Neutral,Neutral,Neutral,Polite,Neutral,3,Polite,3,Polite,3,Polite,3,Polite,4,Neutral,2,Neutral,Polite,Polite,Polite,Neutral,Polite,Neutral,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,G3_Human_Neutral_LLM_Polite,Polite,1,0,0,0,1,0,0,0
82,"i'm sorry could you explain what you mean, i'm not sure if i understand. Your saying we should break them into 1x1 tiles?",Neutral,Polite,Polite,Polite,Polite,Polite,Polite,5,Polite,4,Polite,4,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,3,0,0,1,2,0,0,0
83,"Thanks for your answer, but i'm still not sure i understand. Would it be possible for you to provide any more pseudo code please?",Neutral,Polite,Polite,Polite,Polite,Polite,Polite,5,Polite,4,Polite,4,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,3,1,1,0,1,0,0,0
84,"I also spoke to <url>, who wanted a lot of the WW2 information. I am just wondering if I addressed everything you talked about or is there more that needs to be done?",Neutral,Polite,Neutral,Neutral,Polite,Polite,Polite,3,Polite,4,Polite,4,Polite,3,Polite,4,Polite,4,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,0,0,0,0,0,0,0,0
85,"I mean if you can help me to restore my userpage, the orginal version is to simple and when i look at your page it is perfect. I like also the editorstar, how can i get this item on my page?",Neutral,Polite,Neutral,Polite,Impolite,Neutral,Polite,2,Polite,3,Polite,4,Polite,3,Polite,3,Neutral,2,Neutral,Polite,Neutral,Neutral,Neutral,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,3,0,0,0,2,0,0,1
86,"If you want I could simply remove the maps from each article, its not that important. What do you think?",Neutral,Impolite,Neutral,Neutral,Polite,Neutral,Neutral,3,Polite,4,Polite,3,Neutral,2,Polite,4,Neutral,2,Polite,Polite,Neutral,Polite,Neutral,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Neutral,G3_Human_Neutral_LLM_Polite,Polite,1,0,0,0,1,0,0,0
87,Thanks for pointing that out. Do you suppose we should move or copy these image requests to the MilHist task forces too?,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,5,Polite,4,Polite,3,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,2,0,1,0,1,0,0,0
88,"Hi, we worked on a few Australian-related articles together. May be you want to make a look on my <url>?",Neutral,Polite,Polite,Polite,Neutral,Polite,Polite,4,Polite,4,Polite,4,Polite,4,Polite,3,Polite,3,Polite,Polite,Polite,Neutral,Neutral,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G3_Human_Neutral_LLM_Polite,Polite,1,0,0,0,1,0,0,0
89,"@codeka - 4 in all of those bases is still 4. A more interesting question would be, what base is """"10""""? :P",Impolite,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,4,Neutral,4,Neutral,3,Neutral,3,Neutral,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Impolite,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,1,0,0,0,1,0,0,0
90,You do not appear to have alerted the other previous Delete advocates yet.  May we take this as a tacit admission that actually you ''were'' intending to skew the deletion review?,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,5,Impolite,4,Impolite,4,Neutral,2,Impolite,4,Impolite,4,Impolite,Impolite,Neutral,Impolite,Impolite,Impolite,Impolite,Neutral,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,G4a_High_Markers_Non_Polite,Impolite,1,0,0,0,1,0,0,0
91,"I don't understand your concern with """"the user might think that margins contains only :left and :right"""". How is it different when you use the chart.marings(:left, 10) syntax ?",Impolite,Impolite,Neutral,Impolite,Impolite,Neutral,Impolite,3,Neutral,4,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,1,0,0,0,1,0,0,0
92,"@Jrg I can only see two questions in total by Markus, unless one's been deleted. Where's the third?",Neutral,Impolite,Neutral,Neutral,Neutral,Impolite,Neutral,3,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,1,0,0,0,1,0,0,0
93,"I've deleted the diagram from the <url> article because, as Curtis Clark points out in <url>, the diagram does not represent the results of the reference it purports to represent. Can't we reproduce an actual diagram from a published reference as """"fair use"""" as long as we properly label & attribute it?",Neutral,Impolite,Impolite,Impolite,Polite,Neutral,Impolite,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,1,0,0,0,1,0,0,0
94,"the singular of hierarchies is hierarchy, btw. can you edit that ?",Impolite,Impolite,Neutral,Neutral,Impolite,Neutral,Neutral,3,Neutral,3,Neutral,4,Neutral,3,Neutral,2,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Polite,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,1,0,0,0,1,0,0,0
95,By the way the list schools was in wikimedia code. Or is there another way it should be done?,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,2,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,1,0,0,0,1,0,0,0
96,"No answer. Do you want to take it to ANI, or should I?",Neutral,Impolite,Neutral,Neutral,Impolite,Impolite,Impolite,3,Neutral,4,Neutral,4,Neutral,4,Neutral,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Impolite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,1,0,0,0,1,0,0,0
97,Cool. Is this something I can invoke with a template on the page or something?,Neutral,Polite,Neutral,Polite,Polite,Neutral,Polite,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,1,0,0,0,1,0,0,0
98,What technical reasons might those be? Do you understand how similar `require` and `use` are?,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,5,Impolite,4,Impolite,3,Neutral,4,Impolite,4,Impolite,4,Impolite,Impolite,Neutral,Impolite,Impolite,Impolite,Impolite,Neutral,Impolite,Impolite,Impolite,Impolite,Neutral,Impolite,Impolite,Impolite,Neutral,Neutral,Impolite,Impolite,G4a_High_Markers_Non_Polite,Impolite,1,0,0,0,1,0,0,0
99,"You were asking for a source for the <url> mention of the <url> service to Lagos from March 29th, which you reverted.  Would <url> do?",Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,4,Neutral,2,Neutral,4,Neutral,3,Neutral,2,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Polite,Neutral,Polite,Polite,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,1,0,0,0,1,0,0,0
100,It should be deleted. Do you want to nominate it or should I?,Neutral,Impolite,Neutral,Impolite,Impolite,Neutral,Impolite,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,2,0,0,0,2,0,0,0
101,Are you trying to help him milk the publicity over the WR incident? if it ends up on google with lots of nns why would that matter?,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,5,Impolite,4,Impolite,3,Impolite,4,Impolite,4,Impolite,4,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Neutral,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,Impolite,G4a_High_Markers_Non_Polite,Impolite,1,0,0,0,1,0,0,0
102,"Third, what picture then should go into the Harrison Ford infobox?  Would this one (Image:Harrison Ford 1) do it?",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,2,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,2,0,0,0,2,0,0,0
103,@user1567: You add the function to the `wp_ajax_myaction` and `wp_ajax_admin_myaction` hooks. Should that not be `wp_ajax_myaction` (for logged in users) and `wp_ajax_nopriv_myaction` (for anonymous users)?,Neutral,Impolite,Impolite,Neutral,Impolite,Neutral,Impolite,3,Polite,3,Neutral,4,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,G4a_High_Markers_Non_Polite,Neutral,1,0,0,0,1,0,0,0
104,Hi Gokul. Just wondered if you got my previous message and had any thoughts about ledes for these articles?,Polite,Polite,Neutral,Polite,Polite,Polite,Polite,4,Polite,4,Polite,4,Polite,4,Polite,4,Polite,4,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,Polite,G4b_Low_Markers_Polite,Polite,0,0,0,0,0,0,0,0
105,If you view the image by itself in a new tab/window. What dimension does the image turn out to be?,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,2,Neutral,4,Neutral,4,Neutral,4,Neutral,4,,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4b_Low_Markers_Polite,Neutral,0,0,0,0,0,0,0,0
106,@AnthonyK What is the name of the images you want to display? Are they same for all rows?,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5,Neutral,3,Neutral,4,Neutral,4,Neutral,3,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4b_Low_Markers_Polite,Neutral,0,0,0,0,0,0,0,0
107,have you tried any other patchlevel of 1.8.7 ? ruby-1.8.7-p352 for example ?,Polite,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,4,Neutral,4,Neutral,3,Neutral,4,Neutral,4,Neutral,4,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Polite,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,G4b_Low_Markers_Polite,Neutral,0,0,0,0,0,0,0,0
